name,group
R0G39TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R0G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol
R1G42TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R1G43TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol
R1G45TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol
R1G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R1G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol
R2G0TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol
R2G39TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R2G45TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R2G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R2G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol
R2G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol
R3G0TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R3G45TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol
R3G64TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R3G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol
R3G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R3G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R3G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R4G64TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol
R4G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
R4G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina
